sslfinal_state,domain_registation_length,url_of_anchor,links_in_tags,redirect,age_of_domain,web_traffic,target
0,0.13,0.96,0.71,1,0.39,0,0
0,9.26,0.68,0.22,1,0.86,0,0
0,7.79,0.09,1.0,1,0.75,0,0
0,4.04,0.08,0.57,1,0.61,0,0
0,4.06,0.44,0.72,1,0.78,0,0
0,2.8,0.33,0.92,1,0.67,0,0
0,3.84,0.0,0.0,1,0.78,0,0
0,1.06,0.42,0.24,0,0.56,0,0
0,0.51,0.07,0.67,1,0.58,0,0
0,5.19,0.04,0.79,1,0.87,0,0
0,0.99,0.0,1.0,1,0.69,0,0
0,8.44,0.0,0.19,1,0.64,0,0
0,7.23,0.18,0.88,3,0.75,0,0
0,1.33,1.0,0.0,1,0.42,0,0
1,0.21,0.38,0.94,1,0.44,0,0
0,0.87,0.39,1.0,0,0.61,0,0
0,0.59,1.0,1.0,1,0.53,0,0
1,0.75,0.03,0.78,0,0.61,0,0
0,1.44,0.0,0.43,1,0.31,0,0
0,0.48,1.0,0.6,0,0.61,0,0
0,0.75,0.03,0.36,0,0.61,0,0
0,1.2,0.4,0.66,1,0.58,0,0
0,2.3,0.24,0.26,1,0.42,0,0
0,0.59,0.16,0.78,1,0.67,0,0
1,0.09,1.0,1.0,1,0.64,0,0
0,0.32,1.0,1.0,0,0.25,0,0
1,2.35,0.17,0.45,2,0.83,0,0
0,1.02,0.96,0.89,1,0.67,0,0
1,4.7,0.48,1.0,2,0.72,0,0
1,3.43,1.0,0.67,2,0.77,0,0
0,1.03,0.0,0.09,0,0.31,0,0
0,8.69,0.08,0.86,1,0.53,0,0
0,2.15,0.93,0.12,1,0.94,0,0
0,1.78,0.72,0.9,0,0.36,0,0
1,1.18,0.23,0.47,1,0.56,0,0
0,0.1,0.95,1.0,0,0.42,0,0
0,1.95,0.0,0.0,3,0.47,0,0
0,0.18,0.72,0.0,1,0.42,0,0
0,4.44,0.61,0.08,1,0.47,0,0
0,2.81,0.14,1.0,0,0.47,0,0
0,9.35,1.0,0.8,1,0.58,0,0
0,1.0,0.72,0.0,1,0.54,0,0
0,1.91,0.0,0.63,1,0.31,0,0
0,0.12,0.91,0.86,1,0.39,0,0
1,0.31,0.7,0.84,2,0.56,0,0
0,0.31,0.72,0.0,1,0.54,0,0
0,0.38,0.8,0.67,1,0.9,0,0
0,0.76,0.67,0.57,1,0.69,0,0
0,2.22,0.75,0.0,1,0.5,0,0
1,3.3,0.23,0.88,1,0.64,0,0
1,5.25,0.87,0.22,1,0.67,1,0
1,2.87,0.43,0.5,2,0.5,0,0
1,4.01,0.08,0.12,1,0.56,0,0
0,2.32,0.81,0.92,2,0.42,0,0
0,2.57,0.54,1.0,0,0.58,0,0
0,0.54,0.77,0.87,1,0.83,0,0
0,0.44,0.78,0.84,0,0.39,0,0
1,3.38,0.65,0.17,1,0.33,0,0
0,1.3,0.86,0.31,1,0.61,0,0
0,0.49,1.0,0.58,1,0.67,0,0
0,7.73,0.97,0.75,2,0.92,0,0
1,9.09,0.14,0.69,1,0.78,0,0
